word,reading,pos,english
現像,げんぞう,N,developing (film)
原則,げんそく,N,"principle, general rule"
見地,けんち,N,point of view
現地,げんち,N,"actual place, local"
限定,げんてい,N,"limit, restriction"
原点,げんてん,N,"origin (coordinates, starting point)"
原典,げんてん,N,"original, source"
原爆,げんばく,N,atomic bomb
原文,げんぶん,N,"the text, original"
厳密,げんみつ,N,"strict, close"
賢明,けんめい,N,"wisdom, intelligence, prudence"
倹約,けんやく,N,"thrift, economy, frugality"
原油,げんゆ,N,crude oil
兼用,けんよう,N,"multi-use, combined use"
権力,けんりょく,N,"(political) power, authority, influence"
言論,げんろん,N,"discussion, speech"
語彙,ごい,N,"vocabulary, glossary"
恋する,こいする,V,"to fall in love with, to love"
甲,こう,N,1st in rank; shell
好意,こうい,N,"good will, favor, courtesy"
行為,こうい,N,"act, deed, conduct"
合意,ごうい,N,"agreement, consent, mutual understanding"
工学,こうがく,N,engineering
抗議,こうぎ,N,"protest, objection"
合議,ごうぎ,N,"consultation, conference"
皇居,こうきょ,N,Imperial Palace
好況,こうきょう,N,"prosperous conditions, healthy economy"
鉱業,こうぎょう,N,mining industry
興業,こうぎょう,N,starting a business; industry
高原,こうげん,N,"tableland, plateau"
交互,こうご,N,"mutual, reciprocal, alternate"
煌々と,こうこうと,N,brightly
考古学,こうこがく,N,archeology
工作,こうさく,N,"handicraft, maneuvering"
耕作,こうさく,N,"cultivation, farming"
鉱山,こうざん,N,mine
講習,こうしゅう,N,"short course, training"
口述,こうじゅつ,V,verbal statement
控除,こうじょ,N,"subsidy, deduction"
交渉,こうしょう,N,negotiation
高尚,こうしょう,N,"high, noble, refined"
向上,こうじょう,N,"rise, improvement, progress"
行進,こうしん,N,"march, parade"
香辛料,こうしんりょう,N,spices
降水,こうすい,N,"rainfall, precipitation"
洪水,こうずい,N,flood
合成,ごうせい,N,"synthetic, mixed"
公然,こうぜん,N,openly
抗争,こうそう,N,"dispute, resistance"
構想,こうそう,N,"plan, plot, idea, conception"
後退,こうたい,N,"retreat, backspace"
光沢,こうたく,N,"luster, glossy finish (of photographs)"
公団,こうだん,N,public corporation
好調,こうちょう,N,"satisfactory, in good shape"
口頭,こうとう,N,oral
講読,こうどく,N,reading
購読,こうどく,N,subscription
購入,こうにゅう,N,"purchase, buy"
公認,こうにん,N,"official recognition, authorization"
光熱費,こうねつひ,N,cost of fuel and light
購買,こうばい,N,"purchase, buy"
好評,こうひょう,N,"popularity, favorable reputation"
交付,こうふ,N,"delivering, furnishing (with copies)"
公募,こうぼ,N,"public appeal, public contribution"
巧妙,こうみょう,N,"ingenious, skillful, clever"
公用,こうよう,N,"government business, public use, public expense"
小売,こうり,N,retail
効率,こうりつ,N,efficiency
公立,こうりつ,N,public institution
護衛,ごえい,N,"guard, convoy, escort"
コーナー,コーナー,N,corner
小柄,こがら,N,"small, diminutive"
小切手,こぎって,N,"cheque, check"
国産,こくさん,N,domestic products
国定,こくてい,N,"state-sponsored, national"
告白,こくはく,N,"confession, acknowledgment"
国防,こくぼう,N,national defense
国有,こくゆう,N,national ownership
極楽,ごくらく,N,paradise
国連,こくれん,N,"U.N., United Nations"
焦げ茶,こげちゃ,N,dark brown
語源,ごげん,N,"word root, word derivation, etymology"
心地,ここち,N,"feeling, sensation, mood"
心得,こころえ,N,"knowledge, information"
心掛け,こころがけ,N,"readiness, intention, aim"
心掛ける,こころがける,V,"to bear in mind, to aim to do"
志,こころざし,N,"will, intention, motive"
志す,こころざす,V,"to plan, to intend, to aspire to"
心強い,こころづよい,N,"heartening, reassuring"
心細い,こころぼそい,N,"helpless, hopeless, discouraging"
試み,こころみ,N,"trial, experiment"
試みる,こころみる,V,"to try, to test"
快い,こころよい,N,"pleasant, agreeable"
誤差,ごさ,N,error
ございます (かん),ございます (かん),V,"to be (polite, to exist)"
孤児,こじ,N,orphan
こじれる,こじれる,V,"to get complicated, to grow worse"
梢,こずえ,N,treetop
個性,こせい,N,"individuality, personality, idiosyncrasy"
戸籍,こせき,N,"census, family register"
古代,こだい,N,ancient times
こたつ,こたつ,N,"table with heater, (originally) charcoal brazier in a floor well"
こだわる,こだわる,V,"to fuss over, to be particular about"
誇張,こちょう,N,exaggeration
こつ (をつかむ),こつ (をつかむ),N,"secret, trick, hang"
滑稽,こっけい,N,"funny, humorous, comical"
国交,こっこう,N,diplomatic relations
骨董品,こっとうひん,N,curio
固定,こてい,N,"fixation, fixing (e.g., salary, capital)"
事柄,ことがら,N,"matter, thing, affair, circumstance"
孤独,こどく,N,"isolation, loneliness, solitude"
ことごとく,ことごとく,N,"altogether, entirely"
言付け,ことづけ,V,to leave a message
殊に,ことに,N,"especially, above all"
粉々,こなごな,N,in very small pieces
好ましい,このましい,N,"nice, likable, desirable"
碁盤,ごばん,N,Go board
個別,こべつ,N,particular case
ごまかす,ごまかす,V,"to deceive, to falsify, to misrepresent"
細やか,こまやか,N,"meager, modest"
コマーシャル,コマーシャル,N,a commercial
込める,こめる,V,"to include, to put into"
コメント,コメント,N,comment
籠もる,こもる,V,"to seclude oneself, to be confined in"
固有,こゆう,N,"characteristic, tradition, peculiar"
暦,こよみ,N,"calendar, almanac"
凝らす,こらす,V,"to concentrate, to devote, to peer into"
ごらんなさい (かん),ごらんなさい (かん),N,"look, (please) try to do"
孤立,こりつ,N,"isolation, helplessness"
懲りる,こりる,V,"to learn by experience, to be disgusted with"
凝る,こる,V,"to stiffen, to harden"
根気,こんき,N,"patience; perseverance, energy"
根拠,こんきょ,N,"basis, foundation"
混血,こんけつ,N,"mixed race, mixed parentage"
コンタクト (レンズ),コンタクト (レンズ),N,contact; contact lens
昆虫,こんちゅう,N,"insect, bug"
根底,こんてい,N,"root, basis, foundation"
混同,こんどう,N,"confusion, mixing, merger"
コントラスト,コントラスト,N,contrast
コントロール,コントロール,N,control
コンパス,コンパス,N,compass
根本,こんぽん,N,"foundation, root, base"
財,ざい,N,"fortune, riches"
再会,さいかい,N,"meeting again, reunion"
災害,さいがい,N,"calamity, disaster, misfortune"
細菌,さいきん,N,"bacillus, bacterium, germ"
細工,さいく,N,"work, craftsmanship, trick"
採掘,さいくつ,N,mining
サイクル,サイクル,N,cycle
採決,さいけつ,N,"vote, roll call"
再建,さいけん,N,(temple or shrine) rebuilding
再現,さいげん,N,"reproduction, return, revival"
財源,ざいげん,N,"source of funds, resources, finances"
在庫,ざいこ,N,"stockpile, stock"
採算,さいさん,N,profit
サイズ,サイズ,N,size
再生,さいせい,N,"playback, regeneration, resuscitation"
財政,ざいせい,N,"economy, financial affairs"
最善,さいぜん,N,the very best
採択,さいたく,N,"adoption, selection, choice"
栽培,さいばい,N,cultivation
再発,さいはつ,N,"return, relapse, reoccurrence"
細胞,さいぼう,N,cell
採用,さいよう,N,"use, adopt"
遮る,さえぎる,V,"to interrupt, to intercept, to obstruct"
さえずる,さえずる,V,"to sing, to chirp, to twitter"
冴える,さえる,V,"to be clear, to be bright, to be skillful"
竿,さお,N,"rod, pole (e.g., for drying laundry)"
栄える,さかえる,V,"to flourish, to prosper, to thrive"
差額,さがく,N,"balance, difference, margin"
杯,さかずき,N,wine cup
逆立ち,さかだち,N,"handstand, headstand"
さきに (いぜん),さきに (いぜん),N,"before, earlier than, previously"
詐欺,さぎ,N,"fraud, swindle"
削減,さくげん,N,"cut, reduction"
錯誤,さくご,N,mistake
作戦,さくせん,N,"military operations, tactics, strategy"
叫び,さけび,N,"shout, scream, outcry"
捧げる,ささげる,V,"to lift up, to give, to offer"
差し掛かる,さしかかる,V,"to come near to, to approach"
指図,さしず,N,"instruction, mandate"
差し出す,さしだす,V,"to present, to submit, to hold out"
差し支える,さしつかえる,V,"to interfere, to hinder"
授ける,さずける,V,"to grant, to award, to teach"
摩する,さする,V,"to rub, to stroke"
さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし),N,"I am sure, certainly, no doubt"
定まる,さだまる,V,"to become settled, to be fixed"
定める,さだめる,V,"to decide, to determine"
座談会,ざだんかい,N,"symposium, round-table discussion"
雑,ざつ,N,"rough, crude"
雑貨,ざっか,N,"miscellaneous goods, general goods"
殺人,さつじん,N,murder
察する,さっする,V,"to guess, to sense, to judge"
雑談,ざつだん,N,"chatting, idle talk"
さっと,さっと,N,"suddenly, smoothly"
さっぱりする,さっぱりする,V,to refresh
悟る,さとる,V,"to attain enlightenment, to understand"
座標,ざひょう,N,coordinates
さほど,さほど,N,"not so, not that much"
サボる,サボる,V,to cut (skip) classes; to loaf on the job; to idle away one's time
寒気,さむけ,N,"chill, shiver, cold"
侍,さむらい,N,samurai
さも,さも,N,"with gusto, with satisfaction"
作用,さよう,N,"operation, effect, function"
障る,さわる,V,"to hinder, to interfere with, to affect"
酸,さん,N,acid
山岳,さんがく,N,mountains
参議院,さんぎいん,N,House of Councilors
産休,さんきゅう,N,maternity leave
サンキュー,サンキュー,N,thank you
残金,ざんきん,N,remaining money
産後,さんご,N,"postpartum, after childbirth"
残酷,ざんこく,N,"cruelty, harshness"
産出,さんしゅつ,N,"yield, produce"
参照,さんしょう,N,"reference, consultation, consultation"
参上,さんじょう,N,"calling on, visiting"
残高,ざんだか,N,"(bank) balance, remainder"
サンタクロース,サンタクロース,N,Santa Claus
桟橋,さんばし,N,"wharf, jetty, pier"
賛美,さんび,N,"praise, adoration, glorification"
山腹,さんぷく,N,"hillside, mountainside"
産婦人科,さんふじんか,N,maternity and gynecology department
産物,さんぶつ,N,"product, result, fruit"
山脈,さんみゃく,N,mountain range
仕上がり,しあがり,N,"finish, end, completion"
仕上,しあげ,N,"end, finishing touches"
仕上げる,しあげる,V,"to finish up, to complete"
飼育,しいく,N,"breeding, raising, rearing"
強いて,しいて,V,"to dare, to insist"
シート,シート,N,seat; sheet
ジーパン,ジーパン,N,jeans
仕入れる,しいれる,V,"to lay in stock, to replenish stock, to procure"
強いる,しいる,V,"to force, to compel, to coerce"
潮,しお,N,tide
歯科,しか,N,dentistry
自我,じが,N,"self, ego"
自覚,じかく,N,self-conscious
仕掛,しかけ,N,"device, trick, mechanism"
仕掛ける,しかける,V,"to lay, to set, to wage"
しかしながら,しかしながら,N,"however, nevertheless"
色彩,しきさい,N,color
式場,しきじょう,N,"ceremonial hall, place of ceremony (e.g., marriage)"
しきたり,しきたり,N,"custom, conventional practice, tradition"
事業,じぎょう,N,"project, enterprise, business"
軽蔑,けいべつ,N,"scorn, disdain"
経歴,けいれき,N,"personal history, career"
経路,けいろ,N,"course, route, channel"
けがらわしい,けがらわしい,N,"filthy, unfair"
劇団,げきだん,N,"troupe, theatrical company"
激励,げきれい,N,encouragement
ゲスト,ゲスト,N,guest
獣,けだもの,N,"beast, brute"
決,けつ,N,"decision, vote"
決意,けつい,N,"decision, determination"
結核,けっかく,N,tuberculosis
決議,けつぎ,N,"resolution, vote, decision"
結合,けつごう,N,"combination, union"
決算,けっさん,N,"balance sheet, settlement of accounts"
月謝,げっしゃ,N,monthly tuition fee
決勝,けっしょう,N,finals (in sports)
結晶,けっしょう,N,"crystal, crystallization"
結成,けっせい,N,formation
結束,けっそく,N,"union, unity"
げっそり,げっそり,N,"being disheartened, losing weight"
決断,けつだん,N,"decision, determination"
月賦,げっぷ,N,monthly installment
欠乏,けつぼう,N,shortage
蹴飛ばす,けとばす,V,"to kick away, to kick (someone)"
けなす,けなす,V,to speak ill of
煙たい,けむたい,N,"smoky, feeling awkward"
煙る,けむる,V,"to smoke (e.g., fire)"
家来,けらい,N,"retainer, retinue, servant"
下痢,げり,N,diarrhea
権威,けんい,N,"authority, power, influence"
兼業,けんぎょう,N,holding two jobs at the same time
原形,げんけい,N,"original form, base form"
原型,げんけい,N,"prototype, model, archetypal"
権限,けんげん,N,"power, authority, jurisdiction"
現行,げんこう,N,"present, current, in operation"
健在,けんざい,N,"in good health, well"
原作,げんさく,N,original work
検事,けんじ,N,public prosecutor
原子,げんし,N,atom
元首,げんしゅ,N,"ruler, sovereign"
原書,げんしょ,N,original document
懸賞,けんしょう,N,"offering prizes, winning, reward"
健全,けんぜん,N,"health, soundness, wholesome"
元素,げんそ,N,element
同調,どうちょう,N,"sympathy, agree with, alignment"
到底,とうてい,N,(cannot) possibly
動的,どうてき,N,"dynamic, kinetic"
尊い,とうとい,N,"precious, valuable, noble"
貴い,とうとい,N,"precious, valuable, noble"
同等,どうとう,N,"equality, equal, same rank"
堂々,どうどう,N,"magnificent, grand, impressive"
尊ぶ,とうとぶ,V,"to value, to prize, to esteem"
どうにか,どうにか,N,"in some way or other, one way or another"
投入,とうにゅう,N,"throw, investment, making (an electrical circuit)"
導入,どうにゅう,N,"introduction, bringing in, leading in"
当人,とうにん,N,"the one concerned, the said person"
同封,どうふう,N,"enclosure (e.g., in a letter)"
逃亡,とうぼう,N,escape
冬眠,とうみん,N,"hibernation, winter sleep"
同盟,どうめい,N,"alliance, union, league"
どうやら,どうやら,N,"it seems like, somehow or other"
動力,どうりょく,N,"power, motive power, dynamic force"
登録,とうろく,N,"registration, register, record"
討論,とうろん,N,discussion; debate
遠ざかる,とおざかる,V,to go far off
遠回り,とおまわり,N,"detour, roundabout way"
トーン,トーン,N,tone
とかく,とかく,N,"anyhow, anyway, in any case"
とがめる,とがめる,V,"to blame, to rebuke"
時折,ときおり,N,sometimes
とぎれる,とぎれる,V,"to pause, to be interrupted"
研ぐ,とぐ,V,"to sharpen, to grind, to polish"
特技,とくぎ,N,special talent; skill
独裁,どくさい,N,"dictatorship, despotism"
特産,とくさん,N,"specialty, special product"
独自,どくじ,N,"original, peculiar, characteristic"
特集,とくしゅう,N,"feature (e.g., newspaper, special edition, report)"
独占,どくせん,N,monopoly
独創,どくそう,N,originality
得点,とくてん,N,"score, points made"
