# 宮沢賢治詩集 Glossary — proper nouns, Buddhist terms, and Kenji's coined vocabulary

# People
宮沢賢治	みやざわけんじ	poet and author (1896-1933)
宮沢トシ	みやざわトシ	Kenji's younger sister (1898-1922), died of tuberculosis
宮沢政次郎	みやざわまさじろう	Kenji's father, devout Jodo Shinshu Buddhist
宮沢清六	みやざわせいろく	Kenji's younger brother, preserved his manuscripts
草野心平	くさのしんぺい	poet who championed Kenji's work after his death
山村暮鳥	やまむらぼちょう	poet (1884-1924), mentioned in 青森挽歌

# Places
花巻	はなまき	Kenji's hometown in Iwate Prefecture
イーハトーブ	イーハトーブ	Kenji's invented name for his ideal Iwate; from Esperanto-influenced transliteration
羅須地人協会	らすちじんきょうかい	Kenji's agricultural cooperative and community, est. 1926
花巻農学校	はなまきのうがっこう	agricultural school where Kenji taught (1921-1926)
盛岡高等農林学校	もりおかこうとうのうりんがっこう	Kenji's university (now Iwate University)

# Works
春と修羅	はるとしゅら	Spring and Asura, Kenji's only self-published poetry collection (1924)
注文の多い料理店	ちゅうもんのおおいりょうりてん	The Restaurant of Many Orders, Kenji's only published story collection (1924)
銀河鉄道の夜	ぎんがてつどうのよる	Night on the Galactic Railroad, Kenji's most famous story
雨ニモマケズ	あめにもまけず	Be Not Defeated by the Rain, Kenji's most famous poem
永訣の朝	えいけつのあさ	Morning of Last Farewell, elegy for Toshi
青森挽歌	あおもりばんか	Aomori Elegy, written on train journey after Toshi's death
星めぐりの歌	ほしめぐりのうた	Song of the Star Wanderer

# Buddhist terms
法華経	ほけきょう	Lotus Sutra, the central scripture for Kenji's faith
修羅	しゅら	asura; fighting demon realm in Buddhist cosmology
六道	ろくどう	six realms of rebirth (hell, hungry ghosts, animals, asuras, humans, heaven)
菩薩	ぼさつ	bodhisattva; one who seeks enlightenment for all beings
常不軽菩薩	じょうふきょうぼさつ	Never-Disparaging Bodhisattva (Lotus Sutra)
三毒	さんどく	three poisons: greed, anger, ignorance
貪	とん	greed (first of three poisons)
瞋	しん	anger (second of three poisons)
痴	ち	ignorance (third of three poisons)
四弘誓願	しぐせいがん	four great bodhisattva vows
無我	むが	non-self, anatta
空	くう	emptiness, shunyata
因果	いんが	cause and effect; karma
煩悩即菩提	ぼんのうそくぼだい	earthly desires are enlightenment
諸法実相	しょほうじっそう	true aspect of all phenomena
回向	えこう	transfer of merit to all beings
浄土	じょうど	Pure Land
甘露	かんろ	ambrosia; nectar of the dharma
忍辱	にんにく	patience/forbearance (one of six paramitas)
諂曲	てんごく	flattery; crookedness of mind

# Kenji's coined terms and key vocabulary
心象スケッチ	しんしょうスケッチ	mental-image sketch; Kenji's term for his poetic method
有機交流電燈	ゆうきこうりゅうでんとう	organic alternating-current lamp (Kenji's metaphor for existence)
因果交流電燈	いんがこうりゅうでんとう	karmic alternating-current lamp (variant of above)
第四次延長	だいよじえんちょう	fourth-dimensional extension; Kenji's term for spacetime
でくのぼう	でくのぼう	wooden puppet; useless person (Kenji's self-ideal)

# Dialect (花巻方言)
あめゆじゅとてちてけんじゃ		"please bring me rain-snow" (Hanamaki dialect, Toshi's last request)

# Science terms used in poetry
二相系	にそうけい	two-phase system (chemistry)
蛇紋岩	じゃもんがん	serpentinite (geology)
琥珀	こはく	amber
燐	りん	phosphorus
腐植	ふしょく	humus (soil science)
